All,Toate
"2 Hours","2 ore"
"6 Hours","6 ore"
"12 Hours","12 ore"
"24 Hours","24 ore"
critical,critic
notice,înștiințare
"Wrong message type","Tipul de mesaj este greșit"
"Wrong notification ID specified.","ID-ul notificării specificat este greșit."
"{{base_url}} is not recommended to use in a production environment to declare the Base Unsecure URL / Base Secure URL. We highly recommend changing this value in your Magento <a href=""%1"">configuration</a>.","{{base_url}} nu este recomandat să fie utilizat într-un mediu de producție pentru a declara URL-ul de bază nesecurizat / URL-ul securizat de bază. Vă recomandăm să schimbați această valoare în configurația Magento <a href=""%1""></a>."
"One or more of the Cache Types are invalidated: %1. ","Unul sau mai multe tipuri de cache sunt invalidate: %1. "
"Please go to <a href=""%1"">Cache Management</a> and refresh cache types.","Te rugăm să mergi la <a href=""%1"">Management cache</a> şi să reîmprospătezi tipurile de cache-uri."
"We were unable to synchronize one or more media files. Please refer to the log file for details.","Nu s-a putut sincroniza unul sau mai multe fișiere media. Vă rugăm să consultaţi fişierul jurnal pentru detalii."
"Synchronization of media storages has been completed.","Sincronizarea spatiului de stocare media a fost finalizată."
"Your web server is set up incorrectly and allows unauthorized access to sensitive files. Please contact your hosting provider.","Serverul dvs web este configurat incorect şi permite accesul neautorizat la fişierele sensibile. Vă rugăm să contactaţi furnizorul de găzduire."
"System Messages:","Mesaje de sistem:"
"Critical System Messages","Mesaje critice de sistem"
"Major System Messages","Mesaje majore de sistem"
"System messages","Mesaje de sistem"
Close,Inchide
"See All (","Vezi tot ("
" unread)"," necitite)"
"System Messages","Mesaje de sistem"
"Show Toolbar","Arată bara de instrumente"
"Show List","Arată lista"
"Use HTTPS to Get Feed","Folosește HTTPS pentru a obține Feed"
"Update Frequency","Frecvența de actualizare"
"Last Update","Ultima actualizare"
Severity,Severitate
"Date Added","Data Adăugării"
Message,Mesaj
Actions,Acțiuni
"Manage Shopping Cart","Gestionează coşul de cumpărături"
"Create Order","Creare comandă"
Back,Inapoi
"Add Products","Adauga Produse"
"Update Items and Quantities","Actualizeaza produsele si cantitatea"
"Are you sure you want to clear your cart?","Esti sigur ca doresti sa golesti cosul?"
"Clear my shopping cart","Goleste cosul de cumparaturi"
"Add selections to my cart","Adauga produsele selectate in cos"
Cancel,Anuleaza
"Shopping Cart for %1 in %2","Coș de cumpărături pentru %1 în %2"
"Select products you want to buy","Selectați produsele pe care doriți să le cumpărați"
Product,Produs
Price,Preț
Quantity,Cantitate
"Products in the Comparison List (%1)","Produse din lista de comparație (%1)"
"Last ordered items (%1)","Ultimele articole comandate (%1)"
Products,Produse
SKU,"Cod produs"
"Recently Compared Products (%1)","Produse recent comparate (%1)"
"Recently Viewed Products (%1)","Produse vizualizate recent (%1)"
"Add to Shopping Cart by SKU","Adauga la cosul de cumparaturi cu cod produs"
"Add to Shopping Cart","Adaugă în coș"
"Wish List (%1)","Listă de Dorințe (%1)"
Apply,Aplică
Configure,Configurează
"Add to Order by SKU","Adaugă la comandă prin cod produs"
"Add to Order","Adaugă la comandă"
"Add Products to Order","Adaugă produse la comandă"
"<span><span id=""sku-attention-num"">%1</span> product(s) require attention.</span>","<span><span id=""sku-attention-num"">%1</span> produs(e) necesită atenție</span>"
"Remove All","Elimină tot"
"Only %1%2%3 left in stock","Doar %1%2%3 rămas în stoc"
"You can buy up to %1 of these per purchase.","Poți cumpăra până la %1 din acestea per achiziție."
"You must buy at least %1 of these per purchase.","Trebuie să cumperi cel puțin %1 din acestea per achiziție."
"Specify the product's options.","Specificați opțiunile produsului."
"Alert me when this item is available.","Avertizează-mă când acest articol este disponibil."
"This customer couldn't be found. Verify the customer and try again.","Acest client nu a putut fi găsit. Verificați clientul și încercați din nou."
"Shopping cart management is disabled for this customer.","Administrarea cosului este dezactivata pentru acest client."
"This store couldn't be found. Verify the store and try again.","Nu s-a putut găsi magazinul. Verificați magazinul și încercați din nou."
Customers,Clienți
"Shopping Cart","Coș de cumpărături"
Root,Rădăcină
Delete,Ştergere
"Are you sure you want to delete this category?","Sunteţi sigur că doriţi să ştergeţi categoria?"
Save,Salvează
"Use Config Settings","Folosește setările de configurare"
"Use All Available Attributes","Folosește toate atributele disponibile"
Name,Nume
Visibility,Vizibilitate
Position,Poziție
"Add Subcategory","Subcategorie nouă"
"Add Root Category","Adăugaţi o categorie principală"
Day,Zi
Month,Lună
Year,An
from,"de la"
to,"până la"
"WYSIWYG Editor","Editor WYSIWYG"
"Add Product","Adaugă Produs"
label,etichetă
"Product Attributes","Atributele produsului"
"Add New Attribute","Adăugați un atribut nou"
Cancel,Anulează
"Save Attribute","Salvează atributul"
"Save in New Attribute Set","Salvează într-un nou set de atribute"
Country,Ţară
State/Province,Stat/Provincie
"View and Edit Cart","Vezi si Editeaza Cos"
"View Details","Vezi Detalii"
"Delete Customer","ștergeți client"
Back,înapoi
Reset,Resetați
Save,Salvare
"Save & Close","Salvare și închidere"
title,titlu
"Page not found.","Pagina nu este găsită."
"Incorrect CAPTCHA","CAPTCHA incorect"
"A total of %1 record(s) were updated.","Un total de %1 au fost actualizate."
"Please correct the data sent.","Corectați informațiile trimise."
"A total of %1 record(s) were deleted.","Un total de %1 registre au fost șterse."
"Add New Role","Adăugați rol nou"
"Edit Role","Editare rol"
Active,Activ
Inactive,Inactiv
"Invalid login or password.","Utilizator sau parolă nevalidă()."
"Something went wrong","A avut loc o eroare"
message,mesaj
"Exception message","Mesaj excepție"
exception,excepție
"Localized Exception.","Excepție Localizată"
"Error message","Mesaj eroare"
"Role Name","Nume rol"
Edit,Editare
Delete,șterge
"User Role","Rol utilizator"
"Street Address","Adresă stradă"
City,Oraș
Country,Țară?
"Please select an option.","Selectați o opțiune."
State/Province,Stat/zonă
"Please select a region, state or province.","Selectați o regiune, un stat sau o zonă."
"ZIP/Postal Code","Cod poștal"
"Phone Number","Număr de telefon"
Submit,Trimiteți
"Expand All","Extindeți toate"
"Collapse All","Restrângeți toate"
Error,Eroare
Description,Descriere
"Account Information","Informații cont"
"You have no other address entries in your address book.","Nu aveți intrări de adrese în agendă."
Contacts,Contacte
"Sales Representative","Reprezentant vânzări"
"Role Information","Informații rol"
"Save Role","Salvați rol"
"Add New User","Adăugați utilizator nou"
Company,Companie
"Create an Account","Creați cont"
Change,Modifică
"When you sign in to your account, you will be able to:","Când vă veți conecta la contul dumneavoastră, veți putea să:"
Cancel,anulați
"Are you sure you want to do this?","Sunteți sigur că doriți să faceți această operațiune?"
Done,Efectuat
"Change status","Modificați status"
"Edit User","Editare utilizator."
Comma-separated,"Separate prin Virgulă."
Sales,Vânzări
Block,Bloc
Comment,Comentariu
ZIP,"Cod poștal"
"Customer Group","Grup Clienți"
Gender,Gen
"First Name",Prenume
"Last Name",Nume
"Send Welcome Email From","Trimiteți Email de Bun Venit de la"
"Advanced Settings","Setări avansate"
"My Orders","Comenzile mele"
"Create New Customer","Creați client nou"
Name,Numeric
Role,Rol
Users,Utilizatori
"Sign Out",Deconectare
"Sign In",Conectare
"You have not set a default shipping address.","Nu ați setat o adresă de livrare implicită."
"You have not set a default billing address.","Nu ați setat o adresă de facturare implicită."
"Address Book",Agendă
"Edit Address","Editează adresa"
"Add New Address","Adăugare adresă nouă"
region,regiune
"Create Order","Creați comandă"
"Save Customer","Salvați client"
"Reset Password","Resetare parolă"
"Are you sure you want to revoke the customer's tokens?","Sunteți sigur că doriți să revocați simbolurile clientului?"
"Force Sign-In","Farțate conectare"
"New Customer","Client nou"
"Save and Continue Edit","Salvați și continuați editarea"
"Please select",Selectați
Product,Proodus
SKU,"Unitate de înmagazinare"
Action,Acțiune
Configure,Configurare
"Shopping Cart from %1","Coș de cumpărături de la %1"
Newsletter,"Buletin informativ"
"Newsletter Information","Informații buletin informativ"
"Subscribed to Newsletter","Abonat la buletinul informativ"
"Last Date Subscribed","Ultima dată a abonării"
"Last Date Unsubscribed","Ultima dată a dezabonării"
"No Newsletter Found","Nici un buletin informativ găsit"
"Start date","Dată de început"
"End Date","Dată de sfârșit"
"Receive Date","Data de primire"
Subject,Subiect
"Store View","Vizualizare magazin"
Sent,Trimis
"Not Sent",Netrimis
Sending,"Se trimite"
Paused,întrerupt
View,Vizualizare
Unknown,Necunoscut
"Order #","Comanda #"
Purchased,Achiziționat
"Bill-to Name","Nume facturare"
"Ship-to Name","Nume livrare"
"Order Total","Total comandă"
"Purchase Point","Punct de achiziție"
"Customer View","Vedere client"
"There are no items in customer's shopping cart.","Nu sunt articole în coșul de cumpărături al clientului."
Qty,Cantitate
Confirmed,Confirmat
"Confirmation Required","Confirmarea este necesară"
"Confirmation Not Required","Confirmarea nu este necesară"
Indeterminate,Nedefinit
"The customer does not have default billing address.","Clientul nu are o adresă de facturare implicită."
Offline,Deconectat
Online,Conectat
Never,Niciodată
Unlocked,Deblocat
"Deleted Stores","ștergeți magazine"
"Add Locale","Adăugați locală"
"Add Date","Adăugați dată"
"Days in Wish List","Zile în Lista de dorințe"
Unlock,Deblocare
No,Nu
Yes,Da
"Delete File","ștergeți fișier"
Download,Descărcați
"Delete Image","ștergeți imagine"
"View Full Size","Vizualizare mărime normală"
Subscribed,Abonat
"All countries","Toate țările"
"Customer Groups","Grupuri de clienți"
"Add New Customer Group","Adăugați grup de clienți nou"
"Save Customer Group","Salvați grup de clienți"
"Delete Customer Group","ștergeți grup de clienți"
"New Customer Group","Grup de clienți nou"
"Edit Customer Group ""%1""","Modificați grup de clienți ""%1"""
"Group Information","Informații grup"
"Group Name","Nume grup"
"Tax Class","Clasa de impozitare"
"The customer is now assigned to Customer Group %s.","Clientul este acum atribuit grupului de clienți %s."
"Would you like to change the Customer Group for this order?","Doriți să schimbați grupul de clienți pentru această comandă?"
"The VAT ID is valid.","Valoare TVA nevalidă"
"The VAT ID entered (%s) is not a valid VAT ID.","Valoarea TVA introdusă (%s) nu este un ID TVA valid."
"The VAT ID is valid. The current Customer Group will be used.","Valoare TVA validă. Se va folosi grupul de clienți curent."
"The VAT ID is valid but no Customer Group is assigned for it.","ID-ul valorii TVA este valid, dar nu i-a fost atribuit nici unui grup de clienți."
"Based on the VAT ID, the customer belongs to the Customer Group %s.","Bazat pe ID-ul valorii TVA, clientul aparține grupului de clienți %s."
"Something went wrong while validating the VAT ID.","A avut loc o eroare la validarea ID-ului valorii TVA."
"The customer would belong to Customer Group %s.","Clientul aparșine grupului de clienți %s."
"There was an error detecting Customer Group.","A avut loc o eroare la detectarea grupului de clienți."
"Validate VAT Number","Validare număr TVA"
"Date of Birth","Data nașterii"
Prev,Previzualizare
Next,Următorul
"Bad request.","Solicitare greșită."
"This confirmation key is invalid or has expired.","Această cheie de confirmare este nevalidă sau a expirat."
"There was an error confirming the account","A avut loc o eroare la confirmarea contului."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your shipping address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, faceți click pe <a href=""%1"">aici</a> pentru a introduce adresa de livrare pentru calcularea valorii TVA ."
"If you are a registered VAT customer, please click <a href=""%1"">here</a> to enter your billing address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, faceți click pe<a href=""%1"">aici</a> pentru a introduce adresa de facturare pentru o calculare precisă a valorii TVA."
"Thank you for registering with %1.","Vă mulțumim că v-ați înregistrat la %1."
"Please check your email for confirmation key.","Verificați-vă adresa de email pentru codul de confirmare."
"This email does not require confirmation.","Acest email nu necesită confirmare."
"Wrong email.","Adresă email greșită."
"Your password reset link has expired.","Link-ul dumneavoastră de resetare parolă a expirat."
"Invalid Form Key. Please refresh the page.","Formă cheie/cod nevalidă. Reîmprospătați pagina."
"We can't save the customer.","Clientul nu poate fi salvat."
"Please make sure your passwords match.","Asigurați-vă că parolele coincid."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your shipping address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, <a href=""%1"">faceți click aici</a> pentru a introduce adresa de livrare pentru calcularea precisă valorii TVA ."
"If you are a registered VAT customer, please <a href=""%1"">click here</a> to enter your billing address for proper VAT calculation.","Dacă sunteți un client TVA înregistrat, please <a href=""%1"">faceți click aici</a> pentru a introduce adresa de facturare pentru o calculare precisă a valorii TVA."
"You saved the account information.","Ați salvat informațiile de cont"
"We're unable to send the password reset email.","Nu s-a putut trimite email-ul pentru resetarea parolei."
"Please enter your email.","Introduceți email-ul dumneavoastră."
"If there is an account associated with %1 you will receive an email with a link to reset your password.","Dacă există un cont asociat cu %1 veți primi un email cu link-ul pentru resetarea parolei."
"A login and a password are required.","Un nume de utilizator și o parolă sunt necesare."
"New Password and Confirm New Password values didn't match.","Valorile din Parolă Nouă și Confirmare Parolă Nouă nu coincid."
"Please enter a new password.","Introduceți o parolă nouă."
"You updated your password.","Ați actualizat parola."
"Something went wrong while saving the new password.","A avut loc o eroare la salvarea noii parole."
"You deleted the address.","Ați șters adresa."
"We can't delete the address right now.","Nu se poate șterge adresa momentan."
"You saved the address.","Ați salvat adresa"
"We can't save the address.","Nu se poate salva adresa."
"A total of %1 record(s) have been deleted.","Un total de %1 registre au fost șterse."
"You have revoked the customer's tokens.","Ați revocat simbolurile clientului."
"We can't find a customer to revoke.","Nu se poate găsi un client pentru revocare."
"You deleted the customer group.","Ați șters grupul de clienți."
"The customer group no longer exists.","Grupul de clinți nu mai există."
"New Group","Grup nou"
"New Customer Groups","Grupuri clienți noi"
"Edit Group","Modificați grup"
"Edit Customer Groups","Modificați grupuri de clienți"
"You saved the customer group.","Ați salvat grupul de clienți"
"Please select customer(s).","Selectați client/clienți."
"Customer could not be deleted.","Clientul nu poate fi șters."
"You deleted the customer.","Ați șters clientul"
"Something went wrong while editing the customer.","A avut loc o eroare la editarea clientului."
"Manage Customers","Gestionați clienți"
"The customer will receive an email with a link to reset password.","Clientul va primi un email cu un link pentru resetarea parolei."
"Something went wrong while resetting customer password.","A avut loc o eroare la resetarea parolei clientului."
"You saved the customer.","Ați salvat clientul."
"Something went wrong while saving the customer.","A avut loc o eroare la salvarea clientului."
"Online Customers","Clienți conectați"
"Customers Now Online","Clienți conectați acum"
"Please define Wish List item ID.","Definiți ID-ul articolului Listă de Dorințe."
"Please load Wish List item.","încărcați articolul Listă de Dorințe."
"Login successful.","Conectare reușită."
"%1 doesn't extend \Magento\Customer\CustomerData\SectionSourceInterface","%1 nu se extinde \Magento\Client\InformațiiClient\InterfațăSursăSecțiune"
"This customer already exists in this store.","Acest client există deja în acest magazin."
"""%1"" is a required value.","""%1"" este o valoare necesară."
"Per Website","Pe Website"
"We can't share customer accounts globally when the accounts share identical email addresses on more than one website.","Conturile de client nu pot fi partajate la nivel global în cazurile în care conturile au aceeași adresă de email sau mai mult de un website."
"Billing Address","Adresă facturare"
"Shipping Address","adresa de livrare"
"-- Please Select --","-- Selectați --"
Admin,Administrator
"ALL GROUPS","TOATE GRUPURILE"
"Reset password token expired.","Simbol resetare parolă expirat."
"Attribute object is undefined","Obiect atribut nedefinit"
"""%1"" invalid type entered.","Tip ""%1"" nevalid introdus."
"""%1"" contains non-alphabetic or non-numeric characters.","""%1"" conține caractere non-alfabetice sau non-numerice."
"""%1"" is an empty string.","""%1"" este un șir gol."
"""%1"" contains non-numeric characters.","""%1"" cnține caractere non-numerice."
"""%1"" contains non-alphabetic characters.","""%1"" conține caractere non-alfabetice."
"""%1"" is not a valid email address.","""%1"" nu este o adresă email validă."
"""%1"" is not a valid hostname.","""%1"" nu este un nume de gazdă valid."
"""%1"" uses too many characters.","""%1"" folosește prea multe caractere."
"""%1"" is not a valid URL.","""%1"" nu este un URL valid."
"""%1"" is not a valid date.","""%1"" nu este o dată validă."
"""%1"" does not fit the entered date format.","""%1"" nu coincide cu formatul datei introdus."
"Please enter a valid date between %1 and %2 at %3.","Introduceți o dată validă între %1 și %2 la %3."
"Please enter a valid date equal to or greater than %1 at %2.","Introduceți o dată validă, egală cu sau mai mare decât %1 la %2."
"Please enter a valid date less than or equal to %1 at %2.","Introduceți o dată validă mai mică decât sau egală cu %1 la %2."
"""%1"" is not a valid file extension.","""%1"" nu este o extensie de fișier validă."
"""%1"" is not a valid file.","""%1"" nu este un fișier valid."
"""%1"" exceeds the allowed file size.","""%1"" depășește mărimea permisă a fișierului."
"""%1"" is not a valid image format.","""%1"" nu este un format de imagine valid."
"""%1"" width exceeds allowed value of %2 px.","Lățimea ""%1"" depășește valoarea admisă de %2 px."
"""%1"" height exceeds allowed value of %2 px.","înălțimea ""%1"" depășește valoarea admisă de %2 px."
"""%1"" length must be equal or greater than %2 characters.","Lungimea ""%1"" trebuie să fie egală cu sau mai mare de %2 caractere."
"""%1"" length must be equal or less than %2 characters.","Lungimea ""%1"" trebuie să fie egală cu sau mai mică de %2 caractere."
"You can't delete group ""%1"".","Nu se poate șterge grupul ""%1""."
"Customer Group already exists.","Grupul de clienți deja există."
"Cannot delete group.","Grupul nu poate fi șters."
"Error during VAT Number verification.","Eroare la verificarea numărului TVA."
"PHP SOAP extension is required.","Extensia PHP SOAP este necesară."
"VAT Number is valid.","Număr TVA valid."
"Please enter a valid VAT number.","Introduceți un număr TVA valid."
"Your VAT ID was successfully validated.","ID-ul dumneavoastră TVA a fost validat cu succes."
"You will be charged tax.","Veți plăti o taxă."
"You will not be charged tax.","Nu veți plăti nici o taxă"
"The VAT ID entered (%1) is not a valid VAT ID.","TVA-ul introdus (%1) nu este un ID TVA valid."
"Your Tax ID cannot be validated.","ID-ul dumneavoastră de taxă nu poate fi validat."
"If you believe this is an error, please contact us at %1","Daca aceasta este o eroare, contactați-ne la %1"
Male,Bărbat
Female,Femeie
"Not Specified",Nespecificat
NoSuchEntityException,"Nici o excepție de entitate"
InputException,ExcepțieInput
"Validator Exception","Validator excepție"
"Localized Exception","Excepție localizată"
"some error","unele erori"
frontend_label,etichetă_intefață
"Please enter the state/province.","Introduceți statul / zona."
Label,Etichetă
Select...,Selectați...
"Delete %1","șterge %1"
Visitor,Vizitator
Customer,Client
"No item specified.","Nici un articol specificat"
"Are you sure you want to remove this item?","Sunteți sigur că doriți să eliminați acest articol?"
"Personal Information","Informații personale"
"Last Logged In:","Ultima conectare:"
"Last Logged In (%1):","Ultima conectare (%1):"
"Confirmed email:","Email confirmat:"
"Account Created:","Cont creat:"
"Account Created on (%1):","Cont creat la (%1):"
"Account Created in:","Cont creat în:"
"Customer Group:","Grup clienți:"
"Default Billing Address","Adresă facturare implicită"
"Sales Statistics","Statistici vânzări"
Store,Magazin
"Lifetime Sales","Vânzări la termen"
"Average Sale","Medie vânzare"
"All Store Views","Toate vizualizările de magazin"
"Manage Addresses","Gestionați adrese"
"Default Shipping Address","Adresă de livrare implicită"
"Contact Information","Informații de contact"
"Change Password","Modificați parola"
Newsletters,"Buletine informative"
or,sau
"My Account","Contul meu"
"Default Addresses","Adrese implicite"
"Change Billing Address","Modifică adresa de facturare"
"You have no default billing address in your address book.","Nu aveți adrese de facturare implicite în agendă."
"Change Shipping Address","Modificați adresa de livrare"
"You have no default shipping address in your address book.","Nu aveți adrese de livrare implicite în agendă."
"* Required Fields","* câmpuri obligatorii"
Address,Adresă
"Street Address %1","Adresă stradă %1"
"Use as my default billing address","Folosiți ca adresă de facturare implicită"
"Use as my default shipping address","Folosiți ca adresă de livrare implicită"
"Save Address","Salvați adresa"
"Go back",înapoi
"Additional Address Entries","Intrări adrese suplimentare"
State,Stat
"Zip/Postal Code","Cod poștal"
Phone,Telefon
Actions,Actiuni
"Please enter your email below and we will send you the confirmation link.","Introduceți mai jos adresa de email și vă vom trimite link-ul de confirmare."
"Send confirmation link","Trimiteți link de confirmare"
"Back to Sign In","înapoi la Conectare"
"Current Password","Parolă curentă"
"New Password","Parolă nouă"
"Confirm New Password","Confirmare parolă nouă"
"Please enter your email address below to receive a password reset link.","Introduceți mai jos adresa de email pentru a primi link-ul de resetare parolă."
"Registered Customers","Clienți înregistrați"
"If you have an account, sign in with your email address.","Dacă aveți un cont creat, conectați-vă cu adresa de email."
Password,Parolă
"Forgot Your Password?","V-ați uitat parola?"
"Subscription option","Opțiune abonare"
"General Subscription","Abonare generală"
"Sign Up for Newsletter","Inscrieți-vă la buletinul informativ"
"Address Information","Informații adresă"
"Sign-in Information","Informații conectare"
"Confirm Password","Confirmați parolă"
"Set a New Password","Setați o parolă nouă"
"You have signed out and will go to our homepage in 5 seconds.","V-ați deconectat și veți merge la pagina principală in 5 secunde."
"This account is not confirmed. <a href=""%1"">Click here</a> to resend confirmation email.","Acest cont nu a fost activat. <a href=""%1"">Faceți click aici</a> pentru a retrimite email-ul de activare."
"You must confirm your account. Please check your email for the confirmation link or <a href=""%1"">click here</a> for a new link.","Trebuie să vă activați contul. Verificați-vă adresa de email pentru codul de confirmare sau <a href=""%1"">faceți click aici</a> pentru un link nou."
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","Există deja un cont înregistrat cu această aresă de emails. Dacă sunteți sigur că este adresa dumneavoastră de email, <a href=""%1"">faceți click aici</a> pentru a obține parola și a vă accesa contul."
"New Customers","Clienți noi"
"Creating an account has many benefits: check out faster, keep more than one address, track orders and more.","Crearea unui cont are multe beneficii: check aut rapid, păstrarea mai multor adrese, urmărirea comenzilor și altele."
"Welcome to %store_name.","Bine ați venit la %store_name."
"To sign in to our site, use these credentials during checkout or on the <a href=""%customer_url"">My Account</a> page:","Pentru a vă conecta pe site-ul nostru, folosiți credențialele în timpul checkout-ului sau pe pagina <a href=""%customer_url"">Contul Meu</a> :"
Password:,Parolă:
"Password you set when creating account","Parola setată la crearea contului"
"Forgot your account password? Click <a href=""%reset_url"">here</a> to reset it.","V-ați uitat parola? Faceți click <a href=""%reset_url"">aici</a> pentru resetare."
"Proceed through checkout faster","Treceți mai repede prin procesul de checkout"
"Check the status of orders","Verificași statusul comenzilor"
"View past orders","Vizualizați comenzi precedente"
"Store alternative addresses (for shipping to multiple family members and friends)","Stocați adrese alternative (pentru livrare către multipli membri ai familiei și prieteni)"
"You must confirm your %customer_email email before you can sign in (link is only valid once):","Trebuie să confirmați adresa dumneavoastră de %customer_email înainte de a vă conecta (link-ul este valid o singură dată):"
"Confirm Your Account","Confirmați-vă contul"
"Thank you for confirming your %store_name account.","Vă mulțumim v-ați confirmat contul %store_name."
"To sign in to our site and set a password, click on the <a href=""%create_password_url"">link</a>:","Pentru conectarea pe site-ul nostru și setarea unei parole, faceși click pe <a href=""%create_password_url"">link</a>:"
"There was recently a request to change the password for your account.","A existat recent o solicitare de schimbare a parolei pentru contul dumneavoastră."
"If you requested this change, set a new password here:","Dacă dumneavoastră ați solicitat această schimbare, setați parola nouă aici:"
"If you did not make this request, you can ignore this email and your password will remain the same.","Dacă nu dumneavoastră ați făcut această solicitare, ignorați acest email și parola dumneavosată va rămâne aceeași."
"Email Address","Adresa Email "
"Are you sure you want to delete this address?","Suntețu sigur că doriți să ștergeți această adresă?"
"Invalid date","Dată nevalidă"
"Guest checkout is disabled.","Checkout-ul pentru vizitatori este dezactivat."
"Customer Configuration","Configurație client"
"Account Sharing Options","Opțiuni partajare cont"
"Share Customer Accounts","Partajare conturi client"
"Create New Account Options","Creați opțiuni cont noi"
"Enable Automatic Assignment to Customer Group","Activați atribuiri automate pentru grup clienți"
"Tax Calculation Based On","Calculare taxă bazată pe"
"Default Group","Grup implicit"
"Group for Valid VAT ID - Domestic","Grup pentru ID TVA valid - Intern"
"Group for Valid VAT ID - Intra-Union","Grup pentru ID TVA valid - Intra-Uniune"
"Group for Invalid VAT ID","Grup pentru ID TVA valid"
"Validation Error Group","Eroare validare grup"
"Validate on Each Transaction","Validați la fiecare tranzacție"
"Default Value for Disable Automatic Group Changes Based on VAT ID","Valoare implicită pentru dezactivarea modificărilor automate de grup pe baza ID-ului TVA"
"Show VAT Number on Storefront","Afișați numărul TVA în Vitrină"
"To show VAT number on Storefront, set Show VAT Number on Storefront option to Yes.","Pentru a afișa numărul TVA în Vitrină, setați opțiunea Afișați Număr TVA în Vitrină la DA."
"Default Email Domain","Domeniu Email Implicit"
"Default Welcome Email","Email de Bun Venit Implicit"
"Email template chosen based on theme fallback when ""Default"" option is selected.","șablon email ales pe baza temei fallback atunci când opțiunea ""Implicit"" este selectată."
"Default Welcome Email Without Password","Email de Bun Venit Implicit fără parolă"
"Email Sender","Expeditor email"
"Require Emails Confirmation","Necesită confirmare prin email"
"Confirmation Link Email","Link Email de Confirmare"
"Welcome Email","Email de Bun Venit"
"Generate Human-Friendly Customer ID","Generați ID client ușor de utilizat"
"Password Options","Opțiuni parolă"
"Forgot Email Template","șablon Am uitat adresa de email"
"Remind Email Template","șablon reamintire adresă de email"
"Reset Password Template","Resetare șablon parolă"
"Password Template Email Sender","șablon parolă email expeditor"
"Please enter a number 1 or greater in this field.","Introduceți un număr egal cu sau mai mare decât 1 în acest câmp."
